"","chr","from","to","data_type","target","cancer_type","labeling_type","repeat.","chr.1","from.1","to.1","data_type.1","target.1","cancer_type.1","labeling_type.1","repeat..1","chr.2","from.2","to.2","data_type.2","target.2","cancer_type.2","labeling_type.2","repeat..2","chr.3","from.3","to.3","data_type.3","target.3","cancer_type.3","labeling_type.3","repeat..3","chr.4","from.4","to.4","data_type.4","target.4","cancer_type.4","labeling_type.4","repeat..4","chr.5","from.5","to.5","data_type.5","target.5","cancer_type.5","labeling_type.5","repeat..5","chr.6","from.6","to.6","data_type.6","target.6","cancer_type.6","labeling_type.6","repeat..6","chr.7","from.7","to.7","data_type.7","target.7","cancer_type.7","labeling_type.7","repeat..7","chr.8","from.8","to.8","data_type.8","target.8","cancer_type.8","labeling_type.8","repeat..8","chr.9","from.9","to.9","data_type.9","target.9","cancer_type.9","labeling_type.9","repeat..9","chr.10","from.10","to.10","data_type.10","target.10","cancer_type.10","labeling_type.10","repeat..10","chr.11","from.11","to.11","data_type.11","target.11","cancer_type.11","labeling_type.11","repeat..11","chr.12","from.12","to.12","data_type.12","target.12","cancer_type.12","labeling_type.12","repeat..12","chr.13","from.13","to.13","data_type.13","target.13","cancer_type.13","labeling_type.13","repeat..13","chr.14","from.14","to.14","data_type.14","target.14","cancer_type.14","labeling_type.14","repeat..14","chr.15","from.15","to.15","data_type.15","target.15","cancer_type.15","labeling_type.15","repeat..15","chr.16","from.16","to.16","data_type.16","target.16","cancer_type.16","labeling_type.16","repeat..16","chr.17","from.17","to.17","data_type.17","target.17","cancer_type.17","labeling_type.17","repeat..17","chr.18","from.18","to.18","data_type.18","target.18","cancer_type.18","labeling_type.18","repeat..18","chr.19","from.19","to.19","data_type.19","target.19","cancer_type.19","labeling_type.19","repeat..19","chr.20","from.20","to.20","data_type.20","target.20","cancer_type.20","labeling_type.20","repeat..20","chr.21","from.21","to.21","data_type.21","target.21","cancer_type.21","labeling_type.21","repeat..21","chr.22","from.22","to.22","data_type.22","target.22","cancer_type.22","labeling_type.22","repeat..22","chr.23","from.23","to.23","data_type.23","target.23","cancer_type.23","labeling_type.23","repeat..23","chr.24","from.24","to.24","data_type.24","target.24","cancer_type.24","labeling_type.24","repeat..24","chr.25","from.25","to.25","data_type.25","target.25","cancer_type.25","labeling_type.25","repeat..25","chr.26","from.26","to.26","data_type.26","target.26","cancer_type.26","labeling_type.26","repeat..26","chr.27","from.27","to.27","data_type.27","target.27","cancer_type.27","labeling_type.27","repeat..27","chr.28","from.28","to.28","data_type.28","target.28","cancer_type.28","labeling_type.28","repeat..28","chr.29","from.29","to.29","data_type.29","target.29","cancer_type.29","labeling_type.29","repeat..29"
"1011","14",58500000,58600000,"train","X0","blood","99.9.",1,"14",20600000,20700000,"train","X0","blood","99.9.",2,"14",69200000,69300000,"train","X0","blood","99.9.",3,"14",20700000,20800000,"train","X0","blood","99.9.",4,"14",78100000,78200000,"train","X0","blood","99.9.",5,"14",20600000,20700000,"train","X0","blood","99.9.",6,"14",39400000,39500000,"train","X0","blood","99.9.",7,"14",22900000,2.3e+07,"train","X0","blood","99.9.",8,"14",30700000,30800000,"train","X0","blood","99.9.",9,"14",51200000,51300000,"train","X0","blood","99.9.",10,"14",22500000,22600000,"train","X0","blood","99.9.",11,"14",53700000,53800000,"train","X0","blood","99.9.",12,"14",58900000,5.9e+07,"train","X0","blood","99.9.",13,"14",5.2e+07,52100000,"train","X0","blood","99.9.",14,"14",85400000,85500000,"train","X0","blood","99.9.",15,"14",20700000,20800000,"train","X0","blood","99.9.",16,"14",22500000,22600000,"train","X0","blood","99.9.",17,"14",78900000,7.9e+07,"train","X0","blood","99.9.",18,"14",51200000,51300000,"train","X0","blood","99.9.",19,"14",30700000,30800000,"train","X0","blood","99.9.",20,"13",113500000,113600000,"train","X0","blood","99.9.",21,"13",86100000,86200000,"train","X0","blood","99.9.",22,"14",68300000,68400000,"train","X0","blood","99.9.",23,"14",93700000,93800000,"train","X0","blood","99.9.",24,"14",73700000,73800000,"train","X0","blood","99.9.",25,"13",76900000,7.7e+07,"train","X0","blood","99.9.",26,"14",35100000,35200000,"train","X0","blood","99.9.",27,"14",53700000,53800000,"train","X0","blood","99.9.",28,"13",114800000,114900000,"train","X0","blood","99.9.",29,"14",27300000,27400000,"train","X0","blood","99.9.",30
"1012","14",58800000,58900000,"train","X0","blood","99.9.",1,"14",20700000,20800000,"train","X0","blood","99.9.",2,"14",73700000,73800000,"train","X0","blood","99.9.",3,"14",22500000,22600000,"train","X0","blood","99.9.",4,"14",78700000,78800000,"train","X0","blood","99.9.",5,"14",35100000,35200000,"train","X0","blood","99.9.",6,"14",51200000,51300000,"train","X0","blood","99.9.",7,"14",23900000,2.4e+07,"train","X0","blood","99.9.",8,"14",35100000,35200000,"train","X0","blood","99.9.",9,"14",5.2e+07,52100000,"train","X0","blood","99.9.",10,"14",22900000,2.3e+07,"train","X0","blood","99.9.",11,"14",58500000,58600000,"train","X0","blood","99.9.",12,"14",67100000,67200000,"train","X0","blood","99.9.",13,"14",53100000,53200000,"train","X0","blood","99.9.",14,"14",86800000,86900000,"train","X0","blood","99.9.",15,"14",21600000,21700000,"train","X0","blood","99.9.",16,"14",22900000,2.3e+07,"train","X0","blood","99.9.",17,"14",79100000,79200000,"train","X0","blood","99.9.",18,"14",53100000,53200000,"train","X0","blood","99.9.",19,"14",35100000,35200000,"train","X0","blood","99.9.",20,"13",114800000,114900000,"train","X0","blood","99.9.",21,"13",90200000,90300000,"train","X0","blood","99.9.",22,"14",69100000,69200000,"train","X0","blood","99.9.",23,"14",95800000,95900000,"train","X0","blood","99.9.",24,"14",78100000,78200000,"train","X0","blood","99.9.",25,"13",79800000,79900000,"train","X0","blood","99.9.",26,"14",5.2e+07,52100000,"train","X0","blood","99.9.",27,"14",58800000,58900000,"train","X0","blood","99.9.",28,"14",20600000,20700000,"train","X0","blood","99.9.",29,"14",30700000,30800000,"train","X0","blood","99.9.",30
"1013","14",58900000,5.9e+07,"train","X0","blood","99.9.",1,"14",21600000,21700000,"train","X0","blood","99.9.",2,"14",78100000,78200000,"train","X0","blood","99.9.",3,"14",22900000,2.3e+07,"train","X0","blood","99.9.",4,"14",78900000,7.9e+07,"train","X0","blood","99.9.",5,"14",39400000,39500000,"train","X0","blood","99.9.",6,"14",5.2e+07,52100000,"train","X0","blood","99.9.",7,"14",27300000,27400000,"train","X0","blood","99.9.",8,"14",39400000,39500000,"train","X0","blood","99.9.",9,"14",53100000,53200000,"train","X0","blood","99.9.",10,"14",23900000,2.4e+07,"train","X0","blood","99.9.",11,"14",58800000,58900000,"train","X0","blood","99.9.",12,"14",68300000,68400000,"train","X0","blood","99.9.",13,"14",53700000,53800000,"train","X0","blood","99.9.",14,"14",93700000,93800000,"train","X0","blood","99.9.",15,"14",27300000,27400000,"train","X0","blood","99.9.",16,"14",23900000,2.4e+07,"train","X0","blood","99.9.",17,"14",82700000,82800000,"train","X0","blood","99.9.",18,"14",53700000,53800000,"train","X0","blood","99.9.",19,"14",35400000,35500000,"train","X0","blood","99.9.",20,"14",20600000,20700000,"train","X0","blood","99.9.",21,"13",91600000,91700000,"train","X0","blood","99.9.",22,"14",69200000,69300000,"train","X0","blood","99.9.",23,"14",96200000,96300000,"train","X0","blood","99.9.",24,"14",78900000,7.9e+07,"train","X0","blood","99.9.",25,"13",81900000,8.2e+07,"train","X0","blood","99.9.",26,"14",53700000,53800000,"train","X0","blood","99.9.",27,"14",62300000,62400000,"train","X0","blood","99.9.",28,"14",20700000,20800000,"train","X0","blood","99.9.",29,"14",35400000,35500000,"train","X0","blood","99.9.",30
"1014","14",62300000,62400000,"train","X0","blood","99.9.",1,"14",22500000,22600000,"train","X0","blood","99.9.",2,"14",78700000,78800000,"train","X0","blood","99.9.",3,"14",27300000,27400000,"train","X0","blood","99.9.",4,"14",82700000,82800000,"train","X0","blood","99.9.",5,"14",51200000,51300000,"train","X0","blood","99.9.",6,"14",53100000,53200000,"train","X0","blood","99.9.",7,"14",30700000,30800000,"train","X0","blood","99.9.",8,"14",53100000,53200000,"train","X0","blood","99.9.",9,"14",53700000,53800000,"train","X0","blood","99.9.",10,"14",27300000,27400000,"train","X0","blood","99.9.",11,"14",58900000,5.9e+07,"train","X0","blood","99.9.",12,"14",69200000,69300000,"train","X0","blood","99.9.",13,"14",58500000,58600000,"train","X0","blood","99.9.",14,"14",96200000,96300000,"train","X0","blood","99.9.",15,"14",35100000,35200000,"train","X0","blood","99.9.",16,"14",27300000,27400000,"train","X0","blood","99.9.",17,"14",85400000,85500000,"train","X0","blood","99.9.",18,"14",58500000,58600000,"train","X0","blood","99.9.",19,"14",39400000,39500000,"train","X0","blood","99.9.",20,"14",20700000,20800000,"train","X0","blood","99.9.",21,"13",93100000,93200000,"train","X0","blood","99.9.",22,"14",69500000,69600000,"train","X0","blood","99.9.",23,"14",96500000,96600000,"train","X0","blood","99.9.",24,"14",82700000,82800000,"train","X0","blood","99.9.",25,"13",87700000,87800000,"train","X0","blood","99.9.",26,"14",58500000,58600000,"train","X0","blood","99.9.",27,"14",67100000,67200000,"train","X0","blood","99.9.",28,"14",22500000,22600000,"train","X0","blood","99.9.",29,"14",39400000,39500000,"train","X0","blood","99.9.",30
"1016","14",6.7e+07,67100000,"train","X0","blood","99.9.",1,"14",22900000,2.3e+07,"train","X0","blood","99.9.",2,"14",79100000,79200000,"train","X0","blood","99.9.",3,"14",30700000,30800000,"train","X0","blood","99.9.",4,"14",85400000,85500000,"train","X0","blood","99.9.",5,"14",53100000,53200000,"train","X0","blood","99.9.",6,"14",58900000,5.9e+07,"train","X0","blood","99.9.",7,"14",35100000,35200000,"train","X0","blood","99.9.",8,"14",53700000,53800000,"train","X0","blood","99.9.",9,"14",58500000,58600000,"train","X0","blood","99.9.",10,"14",35100000,35200000,"train","X0","blood","99.9.",11,"14",62300000,62400000,"train","X0","blood","99.9.",12,"14",73700000,73800000,"train","X0","blood","99.9.",13,"14",58800000,58900000,"train","X0","blood","99.9.",14,"14",96400000,96500000,"train","X0","blood","99.9.",15,"14",35400000,35500000,"train","X0","blood","99.9.",16,"14",35400000,35500000,"train","X0","blood","99.9.",17,"14",86800000,86900000,"train","X0","blood","99.9.",18,"14",62300000,62400000,"train","X0","blood","99.9.",19,"14",51200000,51300000,"train","X0","blood","99.9.",20,"14",21600000,21700000,"train","X0","blood","99.9.",21,"13",106300000,106400000,"train","X0","blood","99.9.",22,"14",73700000,73800000,"train","X0","blood","99.9.",23,"14",97600000,97700000,"train","X0","blood","99.9.",24,"14",85400000,85500000,"train","X0","blood","99.9.",25,"13",93900000,9.4e+07,"train","X0","blood","99.9.",26,"14",58800000,58900000,"train","X0","blood","99.9.",27,"14",69100000,69200000,"train","X0","blood","99.9.",28,"14",22900000,2.3e+07,"train","X0","blood","99.9.",29,"14",51200000,51300000,"train","X0","blood","99.9.",30
"1017","14",67100000,67200000,"train","X0","blood","99.9.",1,"14",30700000,30800000,"train","X0","blood","99.9.",2,"14",85400000,85500000,"train","X0","blood","99.9.",3,"14",35400000,35500000,"train","X0","blood","99.9.",4,"14",93700000,93800000,"train","X0","blood","99.9.",5,"14",53700000,53800000,"train","X0","blood","99.9.",6,"14",6.7e+07,67100000,"train","X0","blood","99.9.",7,"14",35400000,35500000,"train","X0","blood","99.9.",8,"14",58500000,58600000,"train","X0","blood","99.9.",9,"14",58800000,58900000,"train","X0","blood","99.9.",10,"14",39400000,39500000,"train","X0","blood","99.9.",11,"14",6.7e+07,67100000,"train","X0","blood","99.9.",12,"14",78100000,78200000,"train","X0","blood","99.9.",13,"14",58900000,5.9e+07,"train","X0","blood","99.9.",14,"14",96500000,96600000,"train","X0","blood","99.9.",15,"14",53100000,53200000,"train","X0","blood","99.9.",16,"14",39400000,39500000,"train","X0","blood","99.9.",17,"14",93700000,93800000,"train","X0","blood","99.9.",18,"14",67100000,67200000,"train","X0","blood","99.9.",19,"14",53100000,53200000,"train","X0","blood","99.9.",20,"14",22500000,22600000,"train","X0","blood","99.9.",21,"13",113200000,113300000,"train","X0","blood","99.9.",22,"14",78100000,78200000,"train","X0","blood","99.9.",23,"14",1.03e+08,103100000,"train","X0","blood","99.9.",24,"14",86800000,86900000,"train","X0","blood","99.9.",25,"13",106300000,106400000,"train","X0","blood","99.9.",26,"14",58900000,5.9e+07,"train","X0","blood","99.9.",27,"14",69200000,69300000,"train","X0","blood","99.9.",28,"14",23900000,2.4e+07,"train","X0","blood","99.9.",29,"14",5.2e+07,52100000,"train","X0","blood","99.9.",30
"1018","14",68300000,68400000,"train","X0","blood","99.9.",1,"14",35100000,35200000,"train","X0","blood","99.9.",2,"14",86800000,86900000,"train","X0","blood","99.9.",3,"14",39400000,39500000,"train","X0","blood","99.9.",4,"14",95800000,95900000,"train","X0","blood","99.9.",5,"14",62300000,62400000,"train","X0","blood","99.9.",6,"14",67100000,67200000,"train","X0","blood","99.9.",7,"14",39400000,39500000,"train","X0","blood","99.9.",8,"14",58800000,58900000,"train","X0","blood","99.9.",9,"14",58900000,5.9e+07,"train","X0","blood","99.9.",10,"14",5.2e+07,52100000,"train","X0","blood","99.9.",11,"14",67100000,67200000,"train","X0","blood","99.9.",12,"14",78700000,78800000,"train","X0","blood","99.9.",13,"14",62300000,62400000,"train","X0","blood","99.9.",14,"14",97600000,97700000,"train","X0","blood","99.9.",15,"14",58500000,58600000,"train","X0","blood","99.9.",16,"14",51200000,51300000,"train","X0","blood","99.9.",17,"14",96400000,96500000,"train","X0","blood","99.9.",18,"14",68300000,68400000,"train","X0","blood","99.9.",19,"14",53700000,53800000,"train","X0","blood","99.9.",20,"14",22900000,2.3e+07,"train","X0","blood","99.9.",21,"13",114800000,114900000,"train","X0","blood","99.9.",22,"14",78700000,78800000,"train","X0","blood","99.9.",23,"14",105100000,105200000,"train","X0","blood","99.9.",24,"14",95800000,95900000,"train","X0","blood","99.9.",25,"13",114800000,114900000,"train","X0","blood","99.9.",26,"14",62300000,62400000,"train","X0","blood","99.9.",27,"14",78700000,78800000,"train","X0","blood","99.9.",28,"14",27300000,27400000,"train","X0","blood","99.9.",29,"14",53700000,53800000,"train","X0","blood","99.9.",30
"1020","14",69200000,69300000,"train","X0","blood","99.9.",1,"14",35400000,35500000,"train","X0","blood","99.9.",2,"14",93700000,93800000,"train","X0","blood","99.9.",3,"14",51200000,51300000,"train","X0","blood","99.9.",4,"14",96200000,96300000,"train","X0","blood","99.9.",5,"14",6.7e+07,67100000,"train","X0","blood","99.9.",6,"14",68300000,68400000,"train","X0","blood","99.9.",7,"14",53100000,53200000,"train","X0","blood","99.9.",8,"14",58900000,5.9e+07,"train","X0","blood","99.9.",9,"14",62300000,62400000,"train","X0","blood","99.9.",10,"14",53100000,53200000,"train","X0","blood","99.9.",11,"14",68300000,68400000,"train","X0","blood","99.9.",12,"14",78900000,7.9e+07,"train","X0","blood","99.9.",13,"14",65700000,65800000,"train","X0","blood","99.9.",14,"14",1.06e+08,106100000,"train","X0","blood","99.9.",15,"14",58800000,58900000,"train","X0","blood","99.9.",16,"14",5.2e+07,52100000,"train","X0","blood","99.9.",17,"14",96500000,96600000,"train","X0","blood","99.9.",18,"14",69100000,69200000,"train","X0","blood","99.9.",19,"14",58500000,58600000,"train","X0","blood","99.9.",20,"14",23900000,2.4e+07,"train","X0","blood","99.9.",21,"14",20700000,20800000,"train","X0","blood","99.9.",22,"14",78900000,7.9e+07,"train","X0","blood","99.9.",23,"14",1.06e+08,106100000,"train","X0","blood","99.9.",24,"14",96200000,96300000,"train","X0","blood","99.9.",25,"14",20600000,20700000,"train","X0","blood","99.9.",26,"14",6.7e+07,67100000,"train","X0","blood","99.9.",27,"14",78900000,7.9e+07,"train","X0","blood","99.9.",28,"14",30700000,30800000,"train","X0","blood","99.9.",29,"14",58500000,58600000,"train","X0","blood","99.9.",30
"1021","14",69500000,69600000,"train","X0","blood","99.9.",1,"14",39400000,39500000,"train","X0","blood","99.9.",2,"14",96200000,96300000,"train","X0","blood","99.9.",3,"14",5.2e+07,52100000,"train","X0","blood","99.9.",4,"14",97600000,97700000,"train","X0","blood","99.9.",5,"14",68300000,68400000,"train","X0","blood","99.9.",6,"14",69200000,69300000,"train","X0","blood","99.9.",7,"14",58500000,58600000,"train","X0","blood","99.9.",8,"14",65700000,65800000,"train","X0","blood","99.9.",9,"14",65700000,65800000,"train","X0","blood","99.9.",10,"14",53700000,53800000,"train","X0","blood","99.9.",11,"14",69100000,69200000,"train","X0","blood","99.9.",12,"14",82700000,82800000,"train","X0","blood","99.9.",13,"14",68300000,68400000,"train","X0","blood","99.9.",14,"14",106100000,106200000,"train","X0","blood","99.9.",15,"14",62300000,62400000,"train","X0","blood","99.9.",16,"14",53100000,53200000,"train","X0","blood","99.9.",17,"14",97600000,97700000,"train","X0","blood","99.9.",18,"14",69500000,69600000,"train","X0","blood","99.9.",19,"14",58800000,58900000,"train","X0","blood","99.9.",20,"14",27300000,27400000,"train","X0","blood","99.9.",21,"14",21600000,21700000,"train","X0","blood","99.9.",22,"14",79100000,79200000,"train","X0","blood","99.9.",23,"14",106400000,106500000,"train","X0","blood","99.9.",24,"14",96400000,96500000,"train","X0","blood","99.9.",25,"14",20700000,20800000,"train","X0","blood","99.9.",26,"14",67100000,67200000,"train","X0","blood","99.9.",27,"14",79100000,79200000,"train","X0","blood","99.9.",28,"14",39400000,39500000,"train","X0","blood","99.9.",29,"14",58800000,58900000,"train","X0","blood","99.9.",30
"1022","14",73700000,73800000,"train","X0","blood","99.9.",1,"14",5.2e+07,52100000,"train","X0","blood","99.9.",2,"14",96500000,96600000,"train","X0","blood","99.9.",3,"14",53700000,53800000,"train","X0","blood","99.9.",4,"14",105100000,105200000,"train","X0","blood","99.9.",5,"14",69100000,69200000,"train","X0","blood","99.9.",6,"14",69500000,69600000,"train","X0","blood","99.9.",7,"14",58900000,5.9e+07,"train","X0","blood","99.9.",8,"14",67100000,67200000,"train","X0","blood","99.9.",9,"14",6.7e+07,67100000,"train","X0","blood","99.9.",10,"14",58500000,58600000,"train","X0","blood","99.9.",11,"14",69200000,69300000,"train","X0","blood","99.9.",12,"14",85400000,85500000,"train","X0","blood","99.9.",13,"14",69100000,69200000,"train","X0","blood","99.9.",14,"14",106400000,106500000,"train","X0","blood","99.9.",15,"14",6.7e+07,67100000,"train","X0","blood","99.9.",16,"14",53700000,53800000,"train","X0","blood","99.9.",17,"14",1.03e+08,103100000,"train","X0","blood","99.9.",18,"14",78100000,78200000,"train","X0","blood","99.9.",19,"14",58900000,5.9e+07,"train","X0","blood","99.9.",20,"14",30700000,30800000,"train","X0","blood","99.9.",21,"14",22500000,22600000,"train","X0","blood","99.9.",22,"14",82700000,82800000,"train","X0","blood","99.9.",23,"15",22800000,22900000,"train","X0","blood","99.9.",24,"14",1.03e+08,103100000,"train","X0","blood","99.9.",25,"14",21600000,21700000,"train","X0","blood","99.9.",26,"14",68300000,68400000,"train","X0","blood","99.9.",27,"14",82700000,82800000,"train","X0","blood","99.9.",28,"14",51200000,51300000,"train","X0","blood","99.9.",29,"14",58900000,5.9e+07,"train","X0","blood","99.9.",30
"1023","14",78100000,78200000,"train","X0","blood","99.9.",1,"14",53700000,53800000,"train","X0","blood","99.9.",2,"14",97600000,97700000,"train","X0","blood","99.9.",3,"14",58900000,5.9e+07,"train","X0","blood","99.9.",4,"14",1.06e+08,106100000,"train","X0","blood","99.9.",5,"14",69200000,69300000,"train","X0","blood","99.9.",6,"14",78100000,78200000,"train","X0","blood","99.9.",7,"14",65700000,65800000,"train","X0","blood","99.9.",8,"14",68300000,68400000,"train","X0","blood","99.9.",9,"14",67100000,67200000,"train","X0","blood","99.9.",10,"14",58800000,58900000,"train","X0","blood","99.9.",11,"14",69500000,69600000,"train","X0","blood","99.9.",12,"14",86800000,86900000,"train","X0","blood","99.9.",13,"14",69500000,69600000,"train","X0","blood","99.9.",14,"15",22800000,22900000,"train","X0","blood","99.9.",15,"14",67100000,67200000,"train","X0","blood","99.9.",16,"14",58500000,58600000,"train","X0","blood","99.9.",17,"14",105100000,105200000,"train","X0","blood","99.9.",18,"14",78700000,78800000,"train","X0","blood","99.9.",19,"14",65700000,65800000,"train","X0","blood","99.9.",20,"14",35100000,35200000,"train","X0","blood","99.9.",21,"14",23900000,2.4e+07,"train","X0","blood","99.9.",22,"14",85400000,85500000,"train","X0","blood","99.9.",23,"15",24400000,24500000,"train","X0","blood","99.9.",24,"14",105100000,105200000,"train","X0","blood","99.9.",25,"14",22500000,22600000,"train","X0","blood","99.9.",26,"14",69100000,69200000,"train","X0","blood","99.9.",27,"14",85400000,85500000,"train","X0","blood","99.9.",28,"14",53100000,53200000,"train","X0","blood","99.9.",29,"14",65700000,65800000,"train","X0","blood","99.9.",30
"1024","14",78700000,78800000,"train","X0","blood","99.9.",1,"14",58800000,58900000,"train","X0","blood","99.9.",2,"14",1.03e+08,103100000,"train","X0","blood","99.9.",3,"14",62300000,62400000,"train","X0","blood","99.9.",4,"14",106100000,106200000,"train","X0","blood","99.9.",5,"14",69500000,69600000,"train","X0","blood","99.9.",6,"14",78900000,7.9e+07,"train","X0","blood","99.9.",7,"14",6.7e+07,67100000,"train","X0","blood","99.9.",8,"14",69200000,69300000,"train","X0","blood","99.9.",9,"14",68300000,68400000,"train","X0","blood","99.9.",10,"14",65700000,65800000,"train","X0","blood","99.9.",11,"14",73700000,73800000,"train","X0","blood","99.9.",12,"14",93700000,93800000,"train","X0","blood","99.9.",13,"14",73700000,73800000,"train","X0","blood","99.9.",14,"15",24400000,24500000,"train","X0","blood","99.9.",15,"14",68300000,68400000,"train","X0","blood","99.9.",16,"14",58800000,58900000,"train","X0","blood","99.9.",17,"14",1.06e+08,106100000,"train","X0","blood","99.9.",18,"14",78900000,7.9e+07,"train","X0","blood","99.9.",19,"14",6.7e+07,67100000,"train","X0","blood","99.9.",20,"14",35400000,35500000,"train","X0","blood","99.9.",21,"14",27300000,27400000,"train","X0","blood","99.9.",22,"14",86800000,86900000,"train","X0","blood","99.9.",23,"15",24600000,24700000,"train","X0","blood","99.9.",24,"14",1.06e+08,106100000,"train","X0","blood","99.9.",25,"14",23900000,2.4e+07,"train","X0","blood","99.9.",26,"14",69200000,69300000,"train","X0","blood","99.9.",27,"14",86800000,86900000,"train","X0","blood","99.9.",28,"14",53700000,53800000,"train","X0","blood","99.9.",29,"14",6.7e+07,67100000,"train","X0","blood","99.9.",30
"1025","14",78900000,7.9e+07,"train","X0","blood","99.9.",1,"14",58900000,5.9e+07,"train","X0","blood","99.9.",2,"14",1.06e+08,106100000,"train","X0","blood","99.9.",3,"14",65700000,65800000,"train","X0","blood","99.9.",4,"14",106400000,106500000,"train","X0","blood","99.9.",5,"14",79100000,79200000,"train","X0","blood","99.9.",6,"14",79100000,79200000,"train","X0","blood","99.9.",7,"14",67100000,67200000,"train","X0","blood","99.9.",8,"14",69500000,69600000,"train","X0","blood","99.9.",9,"14",69200000,69300000,"train","X0","blood","99.9.",10,"14",6.7e+07,67100000,"train","X0","blood","99.9.",11,"14",78700000,78800000,"train","X0","blood","99.9.",12,"14",95800000,95900000,"train","X0","blood","99.9.",13,"14",78100000,78200000,"train","X0","blood","99.9.",14,"15",28100000,28200000,"train","X0","blood","99.9.",15,"14",69500000,69600000,"train","X0","blood","99.9.",16,"14",58900000,5.9e+07,"train","X0","blood","99.9.",17,"14",106100000,106200000,"train","X0","blood","99.9.",18,"14",79100000,79200000,"train","X0","blood","99.9.",19,"14",67100000,67200000,"train","X0","blood","99.9.",20,"14",39400000,39500000,"train","X0","blood","99.9.",21,"14",30700000,30800000,"train","X0","blood","99.9.",22,"14",93700000,93800000,"train","X0","blood","99.9.",23,"15",28100000,28200000,"train","X0","blood","99.9.",24,"14",106100000,106200000,"train","X0","blood","99.9.",25,"14",35100000,35200000,"train","X0","blood","99.9.",26,"14",69500000,69600000,"train","X0","blood","99.9.",27,"14",93700000,93800000,"train","X0","blood","99.9.",28,"14",58500000,58600000,"train","X0","blood","99.9.",29,"14",67100000,67200000,"train","X0","blood","99.9.",30
"1026","14",79100000,79200000,"train","X0","blood","99.9.",1,"14",62300000,62400000,"train","X0","blood","99.9.",2,"14",106100000,106200000,"train","X0","blood","99.9.",3,"14",69100000,69200000,"train","X0","blood","99.9.",4,"15",22400000,22500000,"train","X0","blood","99.9.",5,"14",82700000,82800000,"train","X0","blood","99.9.",6,"14",82700000,82800000,"train","X0","blood","99.9.",7,"14",68300000,68400000,"train","X0","blood","99.9.",8,"14",78100000,78200000,"train","X0","blood","99.9.",9,"14",69500000,69600000,"train","X0","blood","99.9.",10,"14",67100000,67200000,"train","X0","blood","99.9.",11,"14",82700000,82800000,"train","X0","blood","99.9.",12,"14",96200000,96300000,"train","X0","blood","99.9.",13,"14",78700000,78800000,"train","X0","blood","99.9.",14,"15",33200000,33300000,"train","X0","blood","99.9.",15,"14",73700000,73800000,"train","X0","blood","99.9.",16,"14",62300000,62400000,"train","X0","blood","99.9.",17,"14",106400000,106500000,"train","X0","blood","99.9.",18,"14",86800000,86900000,"train","X0","blood","99.9.",19,"14",69100000,69200000,"train","X0","blood","99.9.",20,"14",53700000,53800000,"train","X0","blood","99.9.",21,"14",35400000,35500000,"train","X0","blood","99.9.",22,"14",95800000,95900000,"train","X0","blood","99.9.",23,"15",33200000,33300000,"train","X0","blood","99.9.",24,"14",106400000,106500000,"train","X0","blood","99.9.",25,"14",35400000,35500000,"train","X0","blood","99.9.",26,"14",73700000,73800000,"train","X0","blood","99.9.",27,"14",96400000,96500000,"train","X0","blood","99.9.",28,"14",58800000,58900000,"train","X0","blood","99.9.",29,"14",68300000,68400000,"train","X0","blood","99.9.",30
"1027","14",82700000,82800000,"train","X0","blood","99.9.",1,"14",65700000,65800000,"train","X0","blood","99.9.",2,"14",106400000,106500000,"train","X0","blood","99.9.",3,"14",69200000,69300000,"train","X0","blood","99.9.",4,"15",22800000,22900000,"train","X0","blood","99.9.",5,"14",85400000,85500000,"train","X0","blood","99.9.",6,"14",85400000,85500000,"train","X0","blood","99.9.",7,"14",69100000,69200000,"train","X0","blood","99.9.",8,"14",78900000,7.9e+07,"train","X0","blood","99.9.",9,"14",73700000,73800000,"train","X0","blood","99.9.",10,"14",68300000,68400000,"train","X0","blood","99.9.",11,"14",85400000,85500000,"train","X0","blood","99.9.",12,"14",1.03e+08,103100000,"train","X0","blood","99.9.",13,"14",78900000,7.9e+07,"train","X0","blood","99.9.",14,"15",34200000,34300000,"train","X0","blood","99.9.",15,"14",78100000,78200000,"train","X0","blood","99.9.",16,"14",6.7e+07,67100000,"train","X0","blood","99.9.",17,"15",22400000,22500000,"train","X0","blood","99.9.",18,"14",93700000,93800000,"train","X0","blood","99.9.",19,"14",69500000,69600000,"train","X0","blood","99.9.",20,"14",58500000,58600000,"train","X0","blood","99.9.",21,"14",51200000,51300000,"train","X0","blood","99.9.",22,"14",96200000,96300000,"train","X0","blood","99.9.",23,"15",34200000,34300000,"train","X0","blood","99.9.",24,"15",22400000,22500000,"train","X0","blood","99.9.",25,"14",39400000,39500000,"train","X0","blood","99.9.",26,"14",78100000,78200000,"train","X0","blood","99.9.",27,"14",96500000,96600000,"train","X0","blood","99.9.",28,"14",58900000,5.9e+07,"train","X0","blood","99.9.",29,"14",69100000,69200000,"train","X0","blood","99.9.",30
